,data,periodo,periodo_inicial,periodo_final,latitude,longitude
0,2018-11-04,De 17:56 a 18:26,17:56 ,18:26,-23.5366183,-46.6339921
1,2018-11-05,De 13:20 a 13:35,13:20 ,13:35,-23.5366183,-46.6339921
2,2018-11-05,De 17:02 a 19:11,17:02 ,19:11,-23.5396645,-46.6340752
3,2018-11-06,De 06:03 a 07:57,06:03 ,07:57,-23.5399147,-46.63072529999999
4,2018-11-06,De 08:25 a 08:33,08:25 ,08:33,-23.5351748,-46.6370989
5,2018-11-11,De 09:02 a 09:06,09:02 ,09:06,-23.4271371,-46.7243753
6,2018-11-11,De 16:42 a 16:48,16:42 ,16:48,-23.532489,-46.535937
7,2018-11-11,De 16:46 a 16:48,16:46 ,16:48,-23.5322419,-46.52894089999999
8,2018-11-14,De 11:17 a 11:38,11:17 ,11:38,-23.5690382,-46.4479418
9,2018-11-15,De 14:02 a 15:00,14:02 ,15:00,-23.573933,-46.736525
10,2018-11-18,De 23:27 a 23:30,23:27 ,23:30,-23.5974359,-46.6972704
11,2018-11-19,De 01:42 a 02:20,01:42 ,02:20,-23.5225187,-46.609986
12,2018-11-19,De 08:18 a 09:05,08:18 ,09:05,-23.5240623,-46.6321516
13,2018-11-19,De 21:06 a 03:13,21:06 ,03:13,-23.5405333,-46.6293921
14,2018-11-19,De 21:20 a 23:58,21:20 ,23:58,-23.5240623,-46.6321516
15,2018-11-19,De 10:38 a 12:43,10:38 ,12:43,-23.5722281,-46.7049299
16,2018-11-19,De 18:30 a 13:38,18:30 ,13:38,-23.5483716,-46.7331203
17,2018-11-19,De 06:17 a 17:46,06:17 ,17:46,-23.5456891,-46.7343506
18,2018-11-19,De 00:29 a 00:35,00:29 ,00:35,-23.5330347,-46.4511301
19,2018-11-19,De 00:58 a 01:20,00:58 ,01:20,-23.5325864,-46.4505512
20,2018-11-19,De 08:35 a 13:52,08:35 ,13:52,-23.5193621,-46.6251826
21,2018-11-20,De 11:40 a 14:58,11:40 ,14:58,-23.5628046,-46.67459239999999
22,2018-11-22,De 18:45 a 20:06,18:45 ,20:06,-23.4726383,-46.5714392
23,2018-11-23,De 18:23 a 19:05,18:23 ,19:05,-23.5488882,-46.6385329
24,2018-11-23,De 17:08 a 17:28,17:08 ,17:28,-23.5835626,-46.5751825
25,2018-11-23,De 17:20 a 17:34,17:20 ,17:34,-23.5830026,-46.5733797
26,2018-11-24,De 14:55 a 15:17,14:55 ,15:17,-23.5628168,-46.6743256
27,2018-11-25,De 20:56 a 01:04,20:56 ,01:04,-23.4271371,-46.7243753
28,2018-11-25,De 09:36 a 11:23,09:36 ,11:23,-23.5437928,-46.6327599
29,2018-11-25,De 11:46 a 14:04,11:46 ,14:04,-23.5470971,-46.63674109999999
30,2018-11-29,De 17:51 a 00:00,17:51 ,00:00,-23.5427039,-46.6268799
31,2018-11-29,De 18:16 a 18:26,18:16 ,18:26,-23.5351935,-46.581468
32,2018-11-29,De 18:36 a 19:31,18:36 ,19:31,-23.6065543,-46.5079701
33,2018-11-29,De 16:40 a 16:52,16:40 ,16:52,-23.6638686,-46.6785854
34,2018-11-30,De 21:58 a 23:58,21:58 ,23:58,-23.4726383,-46.5714392
35,2018-11-30,De 23:08 a 09:12,23:08 ,09:12,-23.5270355,-46.5947332
36,2018-11-30,De 23:24 a 23:57,23:24 ,23:57,-23.4726383,-46.5714392
37,2018-11-30,De 23:18 a 23:48,23:18 ,23:48,-23.5683345,-46.6074947
38,2018-11-30,De 22:37 a 23:40,22:37 ,23:40,-23.5197327,-46.6759048
39,2018-11-30,De 22:47 a 23:40,22:47 ,23:40,-23.5272478,-46.7402334
40,2018-11-30,De 23:25 a 09:13,23:25 ,09:13,-23.520175,-46.5553452
41,2018-11-30,De 23:27 a 09:14,23:27 ,09:14,-23.5199237,-46.6367004
42,2018-11-30,De 23:32 a 09:17,23:32 ,09:17,-23.5153037,-46.6667883
43,2018-11-30,De 23:30 a 06:17,23:30 ,06:17,-23.5550119,-46.5171162
44,2018-11-30,De 23:06 a 23:59,23:06 ,23:59,-23.513651,-46.5183461
45,2018-11-30,De 21:47 a 22:30,21:47 ,22:30,-23.5505232,-46.462323
46,2018-11-30,De 22:08 a 23:54,22:08 ,23:54,-23.5372436,-46.45792549999999
47,2018-11-30,De 22:20 a 02:43,22:20 ,02:43,-23.495693,-46.4060119
48,2018-11-30,De 21:34 a 21:47,21:34 ,21:47,-23.5179509,-46.64946399999999
49,2018-11-30,De 23:13 a 05:35,23:13 ,05:35,-23.5604515,-46.566093
50,2018-11-30,De 23:43 a 00:15,23:43 ,00:15,-23.5825769,-46.5659963
51,2018-11-30,De 23:43 a 16:57,23:43 ,16:57,-23.5825769,-46.5659963
52,2018-11-30,De 22:56 a 23:48,22:56 ,23:48,-23.7411976,-46.7058186
53,2018-11-30,De 22:48 a 23:38,22:48 ,23:38,-23.620556,-46.6277791
54,2018-11-30,De 23:11 a 23:37,23:11 ,23:37,-23.6253758,-46.6287942
55,2018-12-01,De 00:59 a 09:20,00:59 ,09:20,-23.5153037,-46.6667883
56,2018-12-01,De 01:58 a 09:39,01:58 ,09:39,-23.5127308,-46.65376850000001
57,2018-12-01,De 03:39 a 09:42,03:39 ,09:42,-23.5189326,-46.6547652
58,2018-12-01,De 05:45 a 12:54,05:45 ,12:54,-23.5137188,-46.6504947
59,2018-12-01,De 00:19 a 02:12,00:19 ,02:12,-23.4726383,-46.5714392
60,2018-12-01,De 00:19 a 00:44,00:19 ,00:44,-23.4726383,-46.5714392
61,2018-12-01,De 02:18 a 09:41,02:18 ,09:41,-23.5233965,-46.6129802
62,2018-12-01,De 05:25 a 09:40,05:25 ,09:40,-23.5179509,-46.64946399999999
63,2018-12-01,De 08:44 a 14:43,08:44 ,14:43,-23.4271371,-46.7243753
64,2018-12-01,De 12:57 a 14:44,12:57 ,14:44,-23.5255433,-46.6535881
65,2018-12-01,De 00:16 a 15:42,00:16 ,15:42,-23.5179509,-46.64946399999999
66,2018-12-01,De 02:15 a 09:43,02:15 ,09:43,-23.5115762,-46.6249014
67,2018-12-01,De 03:24 a 03:57,03:24 ,03:57,-23.5179509,-46.64946399999999
68,2018-12-01,De 05:28 a 09:41,05:28 ,09:41,-23.5115762,-46.6249014
69,2018-12-01,De 05:48 a 07:05,05:48 ,07:05,-23.5151388,-46.6412765
70,2018-12-01,De 00:40 a 15:42,00:40 ,15:42,-23.5179509,-46.64946399999999
71,2018-12-01,De 02:16 a 09:40,02:16 ,09:40,-23.5189326,-46.6547652
72,2018-12-01,De 03:01 a 03:39,03:01 ,03:39,-23.5344059,-46.7500829
73,2018-12-01,De 04:30 a 09:19,04:30 ,09:19,-23.5198356,-46.6568362
74,2018-12-01,De 05:49 a 08:51,05:49 ,08:51,-23.6238787,-46.7099683
75,2018-12-01,De 11:28 a 11:00,11:28 ,11:00,-23.5179509,-46.64946399999999
76,2018-12-01,De 11:28 a 11:00,11:28 ,11:00,-23.5179509,-46.64946399999999
77,2018-12-01,De 01:49 a 09:12,01:49 ,09:12,-23.5189326,-46.6547652
78,2018-12-01,De 02:11 a 09:39,02:11 ,09:39,-23.5146598,-46.7246391
79,2018-12-01,De 02:24 a 09:43,02:24 ,09:43,-23.512302,-46.7267119
80,2018-12-01,De 03:12 a 08:58,03:12 ,08:58,-23.5360182,-46.74658720000001
81,2018-12-01,De 03:22 a 03:33,03:22 ,03:33,-23.5151408,-46.68499449999999
82,2018-12-01,De 03:33 a 03:40,03:33 ,03:40,-23.5145184,-46.7003126
83,2018-12-01,De 03:57 a 09:12,03:57 ,09:12,-23.5133866,-46.7033226
84,2018-12-01,De 04:17 a 14:43,04:17 ,14:43,-23.5154193,-46.696145
85,2018-12-01,De 07:13 a 09:32,07:13 ,09:32,-23.5272478,-46.7402334
86,2018-12-01,De 07:45 a 09:31,07:45 ,09:31,-23.5292152,-46.7426048
87,2018-12-01,De 08:33 a 11:56,08:33 ,11:56,-23.5306517,-46.74489920000001
88,2018-12-01,De 02:04 a 09:39,02:04 ,09:39,-23.5881265,-46.6905352
89,2018-12-01,De 02:08 a 08:25,02:08 ,08:25,-23.6077583,-46.6973162
90,2018-12-01,De 03:19 a 08:23,03:19 ,08:23,-23.5870513,-46.6896484
91,2018-12-01,De 04:15 a 12:37,04:15 ,12:37,-23.6065062,-46.6969314
92,2018-12-01,De 03:45 a 09:42,03:45 ,09:42,-23.5179509,-46.64946399999999
93,2018-12-01,De 03:57 a 09:43,03:57 ,09:43,-23.5282312,-46.5850775
94,2018-12-01,De 09:43 a 11:04,09:43 ,11:04,-23.5325864,-46.4505512
95,2018-12-01,De 01:51 a 16:57,01:51 ,16:57,-23.5254518,-46.5564904
96,2018-12-02,De 07:51 a 08:40,07:51 ,08:40,-23.4868347,-46.6818386
97,2018-12-02,De 15:54 a 19:42,15:54 ,19:42,-23.5630945,-46.6739812
98,2018-12-04,De 18:06 a 20:54,18:06 ,20:54,-23.5690382,-46.4479418
99,2018-12-13,De 16:39 a 17:14,16:39 ,17:14,-23.5504292,-46.6381386
100,2018-12-13,De 17:00 a 17:52,17:00 ,17:52,-23.5427039,-46.6268799
101,2018-12-13,De 17:04 a 17:52,17:04 ,17:52,-23.5404284,-46.6295011
102,2018-12-13,De 16:25 a 17:08,16:25 ,17:08,-23.5362269,-46.5522662
103,2018-12-13,De 16:28 a 17:09,16:28 ,17:09,-23.5360498,-46.5514434
104,2018-12-13,De 16:36 a 16:48,16:36 ,16:48,-23.5479302,-46.6027783
105,2018-12-13,De 16:42 a 16:54,16:42 ,16:54,-23.5479302,-46.6027783
106,2018-12-13,De 18:02 a 19:00,18:02 ,19:00,-23.5713971,-46.598292
107,2018-12-13,De 17:00 a 19:22,17:00 ,19:22,-23.4999189,-46.5244016
108,2018-12-13,De 15:48 a 17:00,15:48 ,17:00,-23.5773899,-46.593206
109,2018-12-13,De 16:28 a 17:20,16:28 ,17:20,-23.580845,-46.585489
110,2018-12-13,De 18:06 a 19:19,18:06 ,19:19,-23.6658875,-46.7130319
111,2018-12-13,De 18:06 a 19:18,18:06 ,19:18,-23.6656924,-46.7124181
112,2018-12-13,De 15:22 a 17:52,15:22 ,17:52,-23.6435241,-46.7339741
113,2018-12-13,De 18:06 a 18:13,18:06 ,18:13,-23.6699141,-46.7326894
114,2018-12-13,De 15:26 a 15:51,15:26 ,15:51,-23.6260211,-46.6886941
115,2018-12-13,De 15:31 a 16:05,15:31 ,16:05,-23.6522565,-46.7228707
116,2018-12-13,De 15:48 a 16:58,15:48 ,16:58,-23.6224124,-46.6282342
117,2018-12-16,De 19:40 a 21:39,19:40 ,21:39,-23.5179509,-46.64946399999999
118,2018-12-18,De 23:48 a 04:21,23:48 ,04:21,-23.4032551,-46.7313454
119,2018-12-18,De 06:49 a 06:55,06:49 ,06:55,-23.538154,-46.450408
120,2018-12-18,De 08:20 a 13:26,08:20 ,13:26,-23.5325864,-46.4505512
121,2018-12-18,De 13:20 a 13:51,13:20 ,13:51,-23.5351935,-46.581468
122,2018-12-19,De 02:31 a 05:50,02:31 ,05:50,-23.404361,-46.7529665
123,2018-12-19,De 02:40 a 08:09,02:40 ,08:09,-23.4068591,-46.75017159999999
124,2018-12-19,De 17:37 a 17:59,17:37 ,17:59,-23.5492156,-46.6407569
125,2018-12-19,De 17:58 a 18:00,17:58 ,18:00,-23.5404117,-46.62906599999999
126,2018-12-19,De 17:58 a 18:19,17:58 ,18:19,-23.5400716,-46.6305941
127,2018-12-19,De 18:28 a 19:07,18:28 ,19:07,-23.530037,-46.647568
128,2018-12-19,De 19:41 a 20:08,19:41 ,20:08,-23.5427039,-46.6268799
129,2018-12-19,De 08:33 a 08:46,08:33 ,08:46,-23.5725782,-46.7045018
130,2018-12-19,De 17:12 a 18:06,17:12 ,18:06,-23.53525,-46.5826757
131,2018-12-19,De 17:16 a 17:49,17:16 ,17:49,-23.5366178,-46.5889416
132,2018-12-19,De 17:18 a 18:05,17:18 ,18:05,-23.5380499,-46.5989774
133,2018-12-20,De 00:44 a 01:40,00:44 ,01:40,-23.5343926,-46.6490374
134,2018-12-20,De 00:10 a 00:19,00:10 ,00:19,-23.566567,-46.66903
135,2018-12-20,De 01:59 a 02:15,01:59 ,02:15,-23.5628046,-46.67459239999999
136,2018-12-20,De 19:39 a 20:01,19:39 ,20:01,-23.6077583,-46.6973162
137,2018-12-23,De 23:23 a 23:39,23:23 ,23:39,-23.4559559,-46.7203198
138,2018-12-23,De 03:29 a 04:34,03:29 ,04:34,-23.6514591,-46.757182
139,2018-12-23,De 16:05 a 16:51,16:05 ,16:51,-23.6491124,-46.7295005
140,2018-12-23,De 09:12 a 09:25,09:12 ,09:25,-23.6395503,-46.7225777
141,2018-12-23,De 15:45 a 16:22,15:45 ,16:22,-23.6411782,-46.724097
142,2018-12-23,De 15:47 a 16:50,15:47 ,16:50,-23.6522565,-46.7228707
143,2018-12-23,De 16:07 a 16:51,16:07 ,16:51,-23.6462723,-46.7253607
144,2018-12-24,De 08:23 a 09:40,08:23 ,09:40,-23.4559559,-46.7203198
145,2018-12-24,De 08:12 a 08:15,08:12 ,08:15,-23.5397543,-46.459767
146,2018-12-24,De 06:28 a 06:27,06:28 ,06:27,-23.5325864,-46.4505512
147,2018-12-25,De 16:48 a 16:56,16:48 ,16:56,-23.5228991,-46.63029849999999
148,2018-12-26,De 07:05 a 10:26,07:05 ,10:26,-23.5240108,-46.630318
149,2018-12-28,De 17:17 a 18:59,17:17 ,18:59,-23.513408,-46.6243676
150,2018-12-28,De 15:12 a 15:35,15:12 ,15:35,-23.5874712,-46.5931047
151,2018-12-28,De 15:20 a 15:36,15:20 ,15:36,-23.5795126,-46.5720433
152,2019-01-01,De 17:16 a 22:29,17:16 ,22:29,-23.4029034,-46.7528997
153,2019-01-01,De 17:33 a 22:29,17:33 ,22:29,-23.4038505,-46.7531618
154,2019-01-01,De 18:01 a 22:29,18:01 ,22:29,-23.4076344,-46.7506224
155,2019-01-01,De 19:04 a 21:09,19:04 ,21:09,-23.4058093,-46.7352023
156,2019-01-01,De 18:34 a 19:23,18:34 ,19:23,-23.5504292,-46.6381386
157,2019-01-01,De 19:52 a 21:00,19:52 ,21:00,-23.5436382,-46.7331109
158,2019-01-01,De 16:25 a 17:23,16:25 ,17:23,-23.5409715,-46.4494444
159,2019-01-01,De 18:20 a 18:26,18:20 ,18:26,-23.5728903,-46.44547739999999
160,2019-01-01,De 19:21 a 17:23,19:21 ,17:23,-23.5409715,-46.4494444
161,2019-01-01,De 16:12 a 17:30,16:12 ,17:30,-23.5533318,-46.57331139999999
162,2019-01-01,De 19:19 a 19:32,19:19 ,19:32,-23.552072,-46.5769369
163,2019-01-02,De 15:05 a 15:22,15:05 ,15:22,-23.5705044,-46.4491428
164,2019-01-03,De 17:27 a 17:42,17:27 ,17:42,-23.5488882,-46.6385329
165,2019-01-03,De 19:43 a 20:18,19:43 ,20:18,-23.5629636,-46.6400328
166,2019-01-03,De 19:52 a 20:04,19:52 ,20:04,-23.5450933,-46.6367485
167,2019-01-03,De 19:56 a 21:00,19:56 ,21:00,-23.5178918,-46.6528819
168,2019-01-04,De 15:11 a 15:54,15:11 ,15:54,-23.5086834,-46.5997792
169,2019-01-04,De 14:45 a 15:03,14:45 ,15:03,-23.5404284,-46.6295011
170,2019-01-04,De 15:04 a 15:53,15:04 ,15:53,-23.5392541,-46.62754899999999
171,2019-01-04,De 15:56 a 17:56,15:56 ,17:56,-23.5427039,-46.6268799
172,2019-01-04,De 17:52 a 19:30,17:52 ,19:30,-23.5396789,-46.630481
173,2019-01-04,De 15:53 a 18:49,15:53 ,18:49,-23.5195747,-46.6741744
174,2019-01-04,De 15:15 a 15:33,15:15 ,15:33,-23.5898417,-46.6930118
175,2019-01-04,De 14:59 a 15:22,14:59 ,15:22,-23.5179509,-46.64946399999999
176,2019-01-04,De 18:41 a 19:10,18:41 ,19:10,-23.5366178,-46.5889416
177,2019-01-04,De 18:20 a 19:00,18:20 ,19:00,-23.5802348,-46.5852468
178,2019-01-04,De 14:26 a 15:25,14:26 ,15:25,-23.5974359,-46.6972704
179,2019-01-04,De 14:26 a 16:31,14:26 ,16:31,-23.6618529,-46.7063713
180,2019-01-04,De 14:25 a 15:25,14:25 ,15:25,-23.6127701,-46.6988729
181,2019-01-04,De 14:34 a 15:27,14:34 ,15:27,-23.6522565,-46.7228707
182,2019-01-04,De 14:47 a 15:03,14:47 ,15:03,-23.6256401,-46.69167590000001
183,2019-01-04,De 14:34 a 15:18,14:34 ,15:18,-23.620556,-46.6277791
184,2019-01-04,De 14:48 a 15:19,14:48 ,15:19,-23.6226146,-46.62937530000001
185,2019-01-04,De 14:55 a 15:21,14:55 ,15:21,-23.6265121,-46.6294583
186,2019-01-04,De 15:02 a 15:19,15:02 ,15:19,-23.611042,-46.6283031
187,2019-01-06,De 19:54 a 20:34,19:54 ,20:34,-23.4726383,-46.5714392
188,2019-01-08,De 16:22 a 17:47,16:22 ,17:47,-23.5504292,-46.6381386
189,2019-01-08,De 17:09 a 17:57,17:09 ,17:57,-23.5364131,-46.64242609999999
190,2019-01-08,De 16:20 a 17:51,16:20 ,17:51,-23.5726084,-46.5044544
191,2019-01-08,De 17:13 a 17:29,17:13 ,17:29,-23.5500133,-46.60135229999999
192,2019-01-08,De 16:15 a 18:15,16:15 ,18:15,-23.5835626,-46.5751825
193,2019-01-08,De 16:17 a 18:15,16:17 ,18:15,-23.5840865,-46.5843941
194,2019-01-08,De 16:21 a 18:15,16:21 ,18:15,-23.5830108,-46.568617
195,2019-01-08,De 16:48 a 18:20,16:48 ,18:20,-23.5791166,-46.6254293
196,2019-01-08,De 17:04 a 17:30,17:04 ,17:30,-23.5945235,-46.5976527
197,2019-01-08,De 17:09 a 17:49,17:09 ,17:49,-23.5771931,-46.60910459999999
198,2019-01-10,De 22:37 a 00:56,22:37 ,00:56,-23.6133909,-46.6983976
199,2019-01-10,De 23:18 a 00:45,23:18 ,00:45,-23.5914102,-46.6897221
200,2019-01-10,De 23:20 a 00:41,23:20 ,00:41,-23.5881265,-46.6905352
201,2019-01-10,De 22:45 a 23:20,22:45 ,23:20,-23.6189923,-46.6830422
202,2019-01-10,De 22:58 a 23:36,22:58 ,23:36,-23.6653157,-46.6781231
203,2019-01-10,De 22:40 a 23:25,22:40 ,23:25,-23.620556,-46.6277791
204,2019-01-10,De 22:47 a 23:25,22:47 ,23:25,-23.6193201,-46.62772890000001
205,2019-01-11,De 16:22 a 17:56,16:22 ,17:56,-23.5179509,-46.64946399999999
206,2019-01-11,De 17:40 a 17:45,17:40 ,17:45,-23.5179509,-46.64946399999999
207,2019-01-11,De 01:19 a 01:44,01:19 ,01:44,-23.5617929,-46.6580219
208,2019-01-11,De 08:12 a 09:57,08:12 ,09:57,-23.5855524,-46.6890057
209,2019-01-11,De 17:25 a 17:46,17:25 ,17:46,-23.7063548,-46.7843513
210,2019-01-13,De 15:53 a ,15:53 ,,-23.766443,-46.71705069999999
211,2019-01-14,De 18:00 a 18:15,18:00 ,18:15,-23.540056,-46.5423531
212,2019-01-14,De 18:19 a 18:36,18:19 ,18:36,-23.5414672,-46.45937439999999
213,2019-01-14,De 17:39 a 18:35,17:39 ,18:35,-23.5380499,-46.5989774
214,2019-01-14,De 16:41 a 17:10,16:41 ,17:10,-23.6638686,-46.6785854
215,2019-01-14,De 16:46 a 17:47,16:46 ,17:47,-23.6814862,-46.69453490000001
216,2019-01-14,De 17:40 a 17:45,17:40 ,17:45,-23.5834742,-46.654522
217,2019-01-16,De 05:11 a 05:28,05:11 ,05:28,-23.5254518,-46.5564904
218,2019-01-17,De 18:32 a 21:53,18:32 ,21:53,-23.5189326,-46.6547652
219,2019-01-17,De 18:41 a 19:02,18:41 ,19:02,-23.5039206,-46.6846383
220,2019-01-17,De 18:58 a 19:02,18:58 ,19:02,-23.5039206,-46.6846383
221,2019-01-17,De 19:09 a 19:42,19:09 ,19:42,-23.5505199,-46.63330939999999
222,2019-01-17,De 18:37 a 19:22,18:37 ,19:22,-23.5557717,-46.6494827
223,2019-01-17,De 18:41 a 19:27,18:41 ,19:27,-23.5504292,-46.6381386
224,2019-01-17,De 18:57 a 19:35,18:57 ,19:35,-23.5364131,-46.64242609999999
225,2019-01-17,De 19:03 a 19:23,19:03 ,19:23,-23.5553996,-46.6496127
226,2019-01-17,De 18:23 a 19:48,18:23 ,19:48,-23.5725782,-46.7045018
227,2019-01-17,De 18:24 a 18:30,18:24 ,18:30,-23.5327743,-46.6754241
228,2019-01-17,De 18:24 a 19:08,18:24 ,19:08,-23.5263631,-46.6822994
229,2019-01-17,De 18:29 a 19:36,18:29 ,19:36,-23.526942,-46.6840671
230,2019-01-17,De 18:36 a 19:55,18:36 ,19:55,-23.5195747,-46.6741744
231,2019-01-17,De 19:12 a 19:55,19:12 ,19:55,-23.5216144,-46.66750039999999
232,2019-01-17,De 19:17 a 20:48,19:17 ,20:48,-23.5189326,-46.6547652
233,2019-01-17,De 18:07 a 18:15,18:07 ,18:15,-23.5845126,-46.6876749
234,2019-01-17,De 18:10 a 18:40,18:10 ,18:40,-23.5576948,-46.6862121
235,2019-01-17,De 18:20 a 18:43,18:20 ,18:43,-23.5641608,-46.6778872
236,2019-01-17,De 19:10 a 21:02,19:10 ,21:02,-23.5542021,-46.7081671
237,2019-01-17,De 19:37 a 20:24,19:37 ,20:24,-23.5380499,-46.5989774
238,2019-01-17,De 21:49 a 21:53,21:49 ,21:53,-23.5230976,-46.5582997
239,2019-01-17,De 17:34 a 19:25,17:34 ,19:25,-23.6415424,-46.7241725
240,2019-01-17,De 17:49 a 18:00,17:49 ,18:00,-23.5834742,-46.654522
241,2019-01-18,De 17:51 a 18:14,17:51 ,18:14,-23.6567885,-46.7356664
242,2019-01-18,De 16:55 a 18:07,16:55 ,18:07,-23.6841075,-46.691945
243,2019-01-19,De 19:42 a 20:19,19:42 ,20:19,-23.5921613,-46.7317735
244,2019-01-19,De 20:01 a 21:30,20:01 ,21:30,-23.6010331,-46.7185488
245,2019-01-19,De 20:04 a 21:30,20:04 ,21:30,-23.6115932,-46.7542352
246,2019-01-19,De 20:04 a 21:30,20:04 ,21:30,-23.5834742,-46.654522
247,2019-01-20,De 02:43 a 02:51,02:43 ,02:51,-23.5282312,-46.5850775
248,2019-01-20,De 02:00 a 08:29,02:00 ,08:29,-23.6190603,-46.6280469
249,2019-01-22,De 15:20 a 16:30,15:20 ,16:30,-23.5157253,-46.6404566
250,2019-01-22,De 15:42 a 18:30,15:42 ,18:30,-23.5040151,-46.6308881
251,2019-01-22,De 16:33 a 18:43,16:33 ,18:43,-23.5138458,-46.6240427
252,2019-01-22,De 17:14 a 18:52,17:14 ,18:52,-23.5179509,-46.64946399999999
253,2019-01-22,De 15:04 a 16:20,15:04 ,16:20,-23.5240737,-46.62877599999999
254,2019-01-22,De 15:42 a 16:57,15:42 ,16:57,-23.5513576,-46.6403225
255,2019-01-22,De 15:56 a 18:55,15:56 ,18:55,-23.5427039,-46.6268799
256,2019-01-22,De 17:25 a 18:29,17:25 ,18:29,-23.53704,-46.649866
257,2019-01-22,De 18:54 a 21:00,18:54 ,21:00,-23.528301,-46.7398231
258,2019-01-22,De 16:35 a 18:51,16:35 ,18:51,-23.5898417,-46.6930118
259,2019-01-22,De 16:56 a 17:51,16:56 ,17:51,-23.6023302,-46.695452
260,2019-01-22,De 16:27 a 21:00,16:27 ,21:00,-23.5179509,-46.64946399999999
261,2019-01-22,De 16:25 a 18:10,16:25 ,18:10,-23.605464,-46.6930699
262,2019-01-23,De 17:40 a 19:10,17:40 ,19:10,-23.4065988,-46.7505867
263,2019-01-23,De 18:00 a 19:10,18:00 ,19:10,-23.404361,-46.7529665
264,2019-01-24,De 15:53 a 16:22,15:53 ,16:22,-23.4938829,-46.6102733
265,2019-01-24,De 16:07 a 16:23,16:07 ,16:23,-23.5053809,-46.6051545
266,2019-01-24,De 16:42 a 18:14,16:42 ,18:14,-23.4065988,-46.7505867
